no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal,tahun_lahir,generasi,profit_per_item,total_profit,total_revenue
BON00017,PEL00921,2022-07-26,Tangerang,PRD00007,26,0,4,no,Lia MUY,P,1981-08-16,Monitor,Dell,1850000.0,1578030.0,1981,Milenial,271970.0,7071220.0,48100000.0
BON00018,PEL00206,2022-07-01,Tangerang,PRD00012,12,15,2,no,Rina PFP,P,1970-12-07,Monitor,MSI,1800000.0,1596299.0,1970,Gen X,203701.0,2444412.0,21600000.0
BON00019,PEL00007,2021-07-17,Bekasi,PRD00036,12,5,3,no,Dewi MBV,P,1998-07-15,Speaker,JBL,1200000.0,807918.0,1998,Gen Z,392082.0,4704984.0,14400000.0
BON00020,PEL00960,2022-11-12,Tangerang,PRD00032,30,0,2,no,Lia GVJ,P,1967-04-07,Printer,Lexmark,2500000.0,1828761.0,1967,Gen X,671239.0,20137170.0,75000000.0
BON00021,PEL01159,2023-12-05,Bandung,PRD00028,65,25,1,yes,Rudi RIU,L,2003-08-04,Printer,HP,2800000.0,1776707.0,2003,Gen Z,1023293.0,66514045.0,182000000.0
BON00022,PEL00167,2023-01-04,Tangerang,PRD00007,25,10,1,yes,Rina SVM,P,1999-04-22,Monitor,Dell,1850000.0,1578030.0,1999,Gen Z,271970.0,6799250.0,46250000.0
BON00023,PEL00754,2022-01-13,Tangerang,PRD00031,21,0,3,no,Tina OWG,P,1997-08-01,Printer,Xerox,2700000.0,1999288.0,1997,Gen Z,700712.0,14714952.0,56700000.0
BON00024,PEL00464,2021-07-14,Bandung,PRD00041,30,15,2,no,Joko GSI,L,1996-12-07,Speaker,Advance,900000.0,624242.0,1996,Gen Z,275758.0,8272740.0,27000000.0
BON00025,PEL00815,2023-01-20,Bogor,PRD00052,15,5,5,no,Budi QHX,L,2000-10-22,Laptop,Microsoft,13500000.0,11312162.0,2000,Gen Z,2187838.0,32817570.0,202500000.0
BON00026,PEL01703,2025-04-03,Bandung,PRD00059,16,0,5,no,Rudi VXH,L,1975-08-20,PC Rakitan,MJ005,29000000.0,22230419.0,1975,Gen X,6769581.0,108313296.0,464000000.0
BON00027,PEL00120,2021-08-16,Bekasi,PRD00011,20,0,1,yes,Dewi LQG,P,1982-12-08,Monitor,Acer,1000000.0,747733.0,1982,Milenial,252267.0,5045340.0,20000000.0
BON00028,PEL00513,2023-07-25,Tangerang,PRD00003,10,10,3,no,Joko NMF,L,1969-11-19,Mouse,SteelSeries,450000.0,358724.0,1969,Gen X,91276.0,912760.0,4500000.0
BON00029,PEL01213,2021-01-28,Bekasi,PRD00025,26,15,3,no,Dedi PQB,L,1999-08-06,Keyboard,Panasonic,400000.0,287728.0,1999,Gen Z,112272.0,2919072.0,10400000.0
BON00031,PEL01649,2021-07-04,Jakarta,PRD00025,17,5,1,yes,Dedi JGO,L,1987-02-23,Keyboard,Panasonic,400000.0,287728.0,1987,Milenial,112272.0,1908624.0,6800000.0
BON00033,PEL00397,2022-03-19,Bekasi,PRD00011,24,0,5,no,Lia WOE,P,1983-12-11,Monitor,Acer,1000000.0,747733.0,1983,Milenial,252267.0,6054408.0,24000000.0
BON00035,PEL01088,2023-08-10,Bogor,PRD00012,28,5,3,no,Dedi DKK,L,1976-08-01,Monitor,MSI,1800000.0,1596299.0,1976,Gen X,203701.0,5703628.0,50400000.0
BON00037,PEL00863,2022-04-07,Jakarta,PRD00022,25,0,1,yes,Joko ATY,L,1986-12-10,Keyboard,Lexmark,550000.0,477099.0,1986,Milenial,72901.0,1822525.0,13750000.0
BON00038,PEL00578,2024-09-05,Depok,PRD00060,29,0,1,yes,Tina GUB,P,1975-08-03,PC Rakitan,MJ006,27500000.0,19653764.0,1975,Gen X,7846236.0,227540844.0,797500000.0
BON00041,PEL01878,2025-06-04,Tangerang,PRD00064,30,10,5,no,Rudi GNP,L,1983-11-12,PC Rakitan,MJ010,22500000.0,19841079.0,1983,Milenial,2658921.0,79767630.0,675000000.0
BON00042,PEL01365,2022-10-03,Bogor,PRD00024,27,15,1,yes,Rudi YLE,L,1971-06-18,Keyboard,Kyocera,850000.0,759960.0,1971,Gen X,90040.0,2431080.0,22950000.0
BON00043,PEL00039,2022-09-13,Bekasi,PRD00011,12,0,4,no,Rudi BOH,L,1990-06-13,Monitor,Acer,1000000.0,747733.0,1990,Milenial,252267.0,3027204.0,12000000.0
BON00044,PEL00042,2023-06-27,Depok,PRD00047,10,15,3,no,Joko FWX,L,1969-08-28,Laptop,HP,4750000.0,3623315.0,1969,Gen X,1126685.0,11266850.0,47500000.0
BON00045,PEL01173,2021-05-03,Bandung,PRD00039,30,5,1,yes,Lia COA,P,2001-09-14,Speaker,Logitech,900000.0,573618.0,2001,Gen Z,326382.0,9791460.0,27000000.0
BON00047,PEL00344,2025-02-14,Depok,PRD00055,14,5,3,no,Rudi JSB,L,1977-10-26,PC Rakitan,MJ001,7000000.0,5407340.0,1977,Gen X,1592660.0,22297240.0,98000000.0
BON00048,PEL01641,2024-12-03,Tangerang,PRD00048,83,25,4,no,Rudi QJH,L,1974-01-03,Laptop,Lenovo,19750000.0,14463191.0,1974,Gen X,5286809.0,438805147.0,1639250000.0
BON00049,PEL01125,2024-09-10,Bekasi,PRD00074,10,10,2,no,Tina KLC,P,1970-11-02,PC Rakitan,MJ020,21500000.0,13410455.0,1970,Gen X,8089545.0,80895450.0,215000000.0
BON00050,PEL00810,2022-12-03,Bekasi,PRD00032,69,25,2,no,Joko LPC,L,1993-09-08,Printer,Lexmark,2500000.0,1828761.0,1993,Milenial,671239.0,46315491.0,172500000.0
BON00051,PEL00078,2021-02-15,Bogor,PRD00023,19,0,1,yes,Rina NLQ,P,1965-06-05,Keyboard,Ricoh,450000.0,375091.0,1965,Gen X,74909.0,1423271.0,8550000.0
BON00052,PEL01245,2025-02-15,Bandung,PRD00002,13,10,1,yes,Dedi UWU,L,1966-11-06,Mouse,Razer,125000.0,87603.0,1966,Gen X,37397.0,486161.0,1625000.0
BON00053,PEL00441,2025-06-03,Tangerang,PRD00002,15,15,4,no,Joko IMR,L,1971-01-25,Mouse,Razer,125000.0,87603.0,1971,Gen X,37397.0,560955.0,1875000.0
BON00055,PEL01124,2023-10-23,Bekasi,PRD00034,21,10,1,yes,Rudi ELC,L,1984-09-18,Printer,Kyocera,2200000.0,1936263.0,1984,Milenial,263737.0,5538477.0,46200000.0
BON00056,PEL00787,2022-11-02,Bogor,PRD00028,15,5,5,no,Agus KCX,L,1965-06-19,Printer,HP,2800000.0,1776707.0,1965,Gen X,1023293.0,15349395.0,42000000.0
BON00057,PEL01026,2024-08-12,Bekasi,PRD00007,24,10,3,no,Rina JKU,P,1972-05-24,Monitor,Dell,1850000.0,1578030.0,1972,Gen X,271970.0,6527280.0,44400000.0
BON00059,PEL00838,2024-01-12,Depok,PRD00034,30,15,2,no,Tina KVG,P,1991-01-20,Printer,Kyocera,2200000.0,1936263.0,1991,Milenial,263737.0,7912110.0,66000000.0
BON00060,PEL01697,2023-05-05,Jakarta,PRD00028,13,0,5,no,Agus MFZ,L,1999-05-14,Printer,HP,2800000.0,1776707.0,1999,Gen Z,1023293.0,13302809.0,36400000.0
BON00061,PEL01160,2022-05-25,Depok,PRD00016,22,5,5,no,Tina JFN,P,1969-04-28,Keyboard,Canon,1100000.0,902572.0,1969,Gen X,197428.0,4343416.0,24200000.0
BON00062,PEL00917,2023-02-05,Bandung,PRD00053,19,0,2,no,Sari ULN,P,2000-03-23,Laptop,Razer,13000000.0,10909656.0,2000,Gen Z,2090344.0,39716536.0,247000000.0
BON00063,PEL01454,2021-02-23,Depok,PRD00026,12,0,3,no,Rudi ZQX,L,1969-04-21,Printer,Canon,1800000.0,1375032.0,1969,Gen X,424968.0,5099616.0,21600000.0
BON00064,PEL01209,2021-12-06,Bogor,PRD00017,60,25,1,yes,Rudi BZY,L,1990-01-10,Keyboard,Epson,1250000.0,983813.0,1990,Milenial,266187.0,15971220.0,75000000.0
BON00065,PEL00804,2021-08-02,Bogor,PRD00014,15,0,1,yes,Agus SIP,L,1981-05-28,Monitor,Eizo,750000.0,557724.0,1981,Milenial,192276.0,2884140.0,11250000.0
BON00066,PEL00544,2021-05-14,Jakarta,PRD00040,28,10,3,no,Dedi LIU,L,1980-03-02,Speaker,Harman Kardon,500000.0,359780.0,1980,Milenial,140220.0,3926160.0,14000000.0
BON00067,PEL01211,2021-02-04,Depok,PRD00028,12,5,3,no,Agus ZMS,L,2002-06-08,Printer,HP,2800000.0,1776707.0,2002,Gen Z,1023293.0,12279516.0,33600000.0
BON00070,PEL01187,2023-06-19,Jakarta,PRD00016,29,0,5,no,Rina MWC,P,1996-09-04,Keyboard,Canon,1100000.0,902572.0,1996,Gen Z,197428.0,5725412.0,31900000.0
BON00071,PEL00855,2025-03-05,Depok,PRD00018,17,5,2,no,Tina EMP,P,1998-01-17,Keyboard,HP,800000.0,605976.0,1998,Gen Z,194024.0,3298408.0,13600000.0
BON00072,PEL00202,2025-05-20,Bogor,PRD00018,11,5,4,no,Tina BUG,P,2004-12-17,Keyboard,HP,800000.0,605976.0,2004,Gen Z,194024.0,2134264.0,8800000.0
BON00073,PEL01354,2024-12-01,Depok,PRD00013,99,25,3,no,Rina TTW,P,1991-03-09,Monitor,Gigabyte,1100000.0,754049.0,1991,Milenial,345951.0,34249149.0,108900000.0
BON00074,PEL01119,2025-05-23,Depok,PRD00063,16,0,3,no,Budi BIZ,L,1982-09-07,PC Rakitan,MJ009,23500000.0,18708453.0,1982,Milenial,4791547.0,76664752.0,376000000.0
BON00075,PEL01760,2023-04-16,Depok,PRD00027,16,0,3,no,Agus KAT,L,1998-01-08,Printer,Epson,1800000.0,1129863.0,1998,Gen Z,670137.0,10722192.0,28800000.0
BON00076,PEL01833,2022-06-20,Bogor,PRD00013,27,0,3,no,Budi TGA,L,1983-04-08,Monitor,Gigabyte,1100000.0,754049.0,1983,Milenial,345951.0,9340677.0,29700000.0
BON00078,PEL00015,2023-03-06,Bandung,PRD00011,11,10,2,no,Dedi HOI,L,1983-06-02,Monitor,Acer,1000000.0,747733.0,1983,Milenial,252267.0,2774937.0,11000000.0
BON00079,PEL00972,2021-11-19,Depok,PRD00037,16,5,4,no,Sari EUN,P,1994-11-16,Speaker,Sony,700000.0,589264.0,1994,Milenial,110736.0,1771776.0,11200000.0
BON00080,PEL00736,2022-10-19,Bekasi,PRD00035,22,0,3,no,Tina VOJ,P,1974-06-05,Printer,Panasonic,2000000.0,1788056.0,1974,Gen X,211944.0,4662768.0,44000000.0
BON00082,PEL01276,2023-11-05,Bogor,PRD00007,12,15,5,no,Dedi BVU,L,1979-04-20,Monitor,Dell,1850000.0,1578030.0,1979,Gen X,271970.0,3263640.0,22200000.0
BON00083,PEL01678,2021-04-09,Depok,PRD00012,11,5,4,no,Tina YBF,P,1990-10-19,Monitor,MSI,1800000.0,1596299.0,1990,Milenial,203701.0,2240711.0,19800000.0
BON00084,PEL01107,2022-03-08,Depok,PRD00040,30,0,1,yes,Dewi XMO,P,2004-08-04,Speaker,Harman Kardon,500000.0,359780.0,2004,Gen Z,140220.0,4206600.0,15000000.0
BON00085,PEL00715,2024-04-28,Bandung,PRD00055,26,10,3,no,Sari VCS,P,1986-08-15,PC Rakitan,MJ001,7000000.0,5407340.0,1986,Milenial,1592660.0,41409160.0,182000000.0
BON00087,PEL00309,2022-11-28,Bekasi,PRD00020,25,15,5,no,Dedi KPS,L,1968-05-19,Keyboard,Samsung,600000.0,501505.0,1968,Gen X,98495.0,2462375.0,15000000.0
BON00088,PEL00896,2021-04-17,Bandung,PRD00034,23,15,2,no,Budi RXT,L,1981-04-08,Printer,Kyocera,2200000.0,1936263.0,1981,Milenial,263737.0,6065951.0,50600000.0
BON00089,PEL00231,2021-05-10,Tangerang,PRD00035,15,15,3,no,Rina HNJ,P,1989-12-21,Printer,Panasonic,2000000.0,1788056.0,1989,Milenial,211944.0,3179160.0,30000000.0
BON00090,PEL01695,2023-11-05,Depok,PRD00002,10,10,1,yes,Budi EIB,L,1994-05-16,Mouse,Razer,125000.0,87603.0,1994,Milenial,37397.0,373970.0,1250000.0
BON00092,PEL00168,2025-04-22,Bekasi,PRD00061,12,5,5,no,Dewi QNC,P,1973-08-23,PC Rakitan,MJ007,8000000.0,5099595.0,1973,Gen X,2900405.0,34804860.0,96000000.0
BON00093,PEL00050,2024-12-23,Jakarta,PRD00074,74,25,5,no,Dewi TAF,P,1983-06-01,PC Rakitan,MJ020,21500000.0,13410455.0,1983,Milenial,8089545.0,598626330.0,1591000000.0
BON00096,PEL00876,2022-06-14,Jakarta,PRD00002,13,10,1,yes,Sari VRV,P,1991-03-18,Mouse,Razer,125000.0,87603.0,1991,Milenial,37397.0,486161.0,1625000.0
BON00098,PEL00158,2023-01-11,Jakarta,PRD00014,18,5,1,yes,Rudi YPR,L,1990-07-08,Monitor,Eizo,750000.0,557724.0,1990,Milenial,192276.0,3460968.0,13500000.0
BON00099,PEL00039,2023-12-23,Tangerang,PRD00003,45,25,5,no,Rudi BOH,L,1990-06-13,Mouse,SteelSeries,450000.0,358724.0,1990,Milenial,91276.0,4107420.0,20250000.0
BON00100,PEL01260,2024-04-10,Depok,PRD00048,26,0,5,no,Joko RRN,L,1966-02-04,Laptop,Lenovo,19750000.0,14463191.0,1966,Gen X,5286809.0,137457034.0,513500000.0
BON00101,PEL00030,2022-02-02,Bekasi,PRD00003,10,10,1,yes,Agus AFZ,L,1974-11-03,Mouse,SteelSeries,450000.0,358724.0,1974,Gen X,91276.0,912760.0,4500000.0
BON00102,PEL01250,2021-11-14,Jakarta,PRD00022,30,5,4,no,Joko TZD,L,1986-05-07,Keyboard,Lexmark,550000.0,477099.0,1986,Milenial,72901.0,2187030.0,16500000.0
BON00103,PEL00558,2021-02-17,Jakarta,PRD00024,29,0,4,no,Rudi ZYX,L,1990-10-15,Keyboard,Kyocera,850000.0,759960.0,1990,Milenial,90040.0,2611160.0,24650000.0
BON00104,PEL01781,2025-01-04,Depok,PRD00025,30,10,2,no,Rudi QGN,L,1966-05-05,Keyboard,Panasonic,400000.0,287728.0,1966,Gen X,112272.0,3368160.0,12000000.0
BON00105,PEL00449,2024-12-14,Bekasi,PRD00031,94,25,5,no,Sari WCP,P,1994-09-21,Printer,Xerox,2700000.0,1999288.0,1994,Milenial,700712.0,65866928.0,253800000.0
BON00106,PEL00394,2022-01-13,Bogor,PRD00035,11,15,2,no,Rina PWF,P,1974-09-28,Printer,Panasonic,2000000.0,1788056.0,1974,Gen X,211944.0,2331384.0,22000000.0
BON00109,PEL00636,2023-11-05,Bandung,PRD00025,12,0,5,no,Sari GYP,P,2002-02-14,Keyboard,Panasonic,400000.0,287728.0,2002,Gen Z,112272.0,1347264.0,4800000.0
BON00110,PEL00398,2022-10-22,Depok,PRD00009,14,10,2,no,Sari UZW,P,1975-10-02,Monitor,Samsung,1600000.0,1139107.0,1975,Gen X,460893.0,6452502.0,22400000.0
BON00111,PEL00904,2025-06-19,Bogor,PRD00026,25,0,2,no,Dedi YWH,L,1971-07-01,Printer,Canon,1800000.0,1375032.0,1971,Gen X,424968.0,10624200.0,45000000.0
BON00112,PEL00693,2024-10-08,Bogor,PRD00072,28,0,3,no,Tina IBD,P,1985-05-18,PC Rakitan,MJ018,15000000.0,13120022.0,1985,Milenial,1879978.0,52639384.0,420000000.0
BON00113,PEL00685,2023-03-25,Bekasi,PRD00032,11,10,4,no,Sari YGU,P,1970-07-20,Printer,Lexmark,2500000.0,1828761.0,1970,Gen X,671239.0,7383629.0,27500000.0
BON00114,PEL00978,2025-01-04,Bandung,PRD00030,10,0,2,no,Dewi XDO,P,1991-10-28,Printer,Samsung,2700000.0,1800182.0,1991,Milenial,899818.0,8998180.0,27000000.0
BON00115,PEL01677,2023-04-13,Bogor,PRD00003,14,15,5,no,Tina BWQ,P,2000-10-13,Mouse,SteelSeries,450000.0,358724.0,2000,Gen Z,91276.0,1277864.0,6300000.0
BON00116,PEL01872,2021-08-01,Tangerang,PRD00004,29,5,2,no,Joko YND,L,2002-03-17,Mouse,Corsair,425000.0,267954.0,2002,Gen Z,157046.0,4554334.0,12325000.0
BON00117,PEL01897,2021-07-18,Jakarta,PRD00030,12,0,5,no,Joko ODN,L,1991-12-26,Printer,Samsung,2700000.0,1800182.0,1991,Milenial,899818.0,10797816.0,32400000.0
BON00118,PEL01243,2023-05-04,Bandung,PRD00007,20,10,2,no,Lia ERJ,P,1979-12-21,Monitor,Dell,1850000.0,1578030.0,1979,Gen X,271970.0,5439400.0,37000000.0
BON00121,PEL01046,2023-09-25,Tangerang,PRD00005,23,0,5,no,Rudi NYD,L,1976-01-17,Mouse,Microsoft,225000.0,178221.0,1976,Gen X,46779.0,1075917.0,5175000.0
BON00122,PEL01759,2023-09-02,Bekasi,PRD00020,17,5,2,no,Dewi BED,P,1977-12-20,Keyboard,Samsung,600000.0,501505.0,1977,Gen X,98495.0,1674415.0,10200000.0
BON00123,PEL00382,2023-07-08,Bogor,PRD00025,27,0,4,no,Dedi UJX,L,1988-05-10,Keyboard,Panasonic,400000.0,287728.0,1988,Milenial,112272.0,3031344.0,10800000.0
BON00124,PEL00100,2021-03-05,Jakarta,PRD00021,14,5,2,no,Agus NGX,L,1997-05-23,Keyboard,Xerox,750000.0,514953.0,1997,Gen Z,235047.0,3290658.0,10500000.0
BON00125,PEL00987,2021-12-17,Jakarta,PRD00015,85,25,1,yes,Dewi WAB,P,1973-02-09,Monitor,ViewSonic,1950000.0,1227395.0,1973,Gen X,722605.0,61421425.0,165750000.0
BON00126,PEL00308,2023-07-12,Jakarta,PRD00024,26,15,1,yes,Tina TDK,P,1998-10-26,Keyboard,Kyocera,850000.0,759960.0,1998,Gen Z,90040.0,2341040.0,22100000.0
BON00127,PEL01838,2023-11-03,Bandung,PRD00021,25,5,2,no,Tina JVR,P,1978-10-17,Keyboard,Xerox,750000.0,514953.0,1978,Gen X,235047.0,5876175.0,18750000.0
BON00128,PEL00062,2022-01-11,Bekasi,PRD00030,29,0,1,yes,Joko POP,L,1967-05-09,Printer,Samsung,2700000.0,1800182.0,1967,Gen X,899818.0,26094722.0,78300000.0
BON00129,PEL01007,2021-11-23,Jakarta,PRD00002,22,15,1,yes,Tina WVO,P,1992-04-25,Mouse,Razer,125000.0,87603.0,1992,Milenial,37397.0,822734.0,2750000.0
BON00130,PEL01699,2021-03-19,Depok,PRD00038,24,10,4,no,Dewi ZAM,P,1989-01-13,Speaker,Bose,1400000.0,929872.0,1989,Milenial,470128.0,11283072.0,33600000.0
BON00131,PEL01305,2023-01-20,Jakarta,PRD00021,28,0,4,no,Rina NSV,P,1966-08-23,Keyboard,Xerox,750000.0,514953.0,1966,Gen X,235047.0,6581316.0,21000000.0
BON00132,PEL00775,2024-06-17,Bandung,PRD00056,25,10,4,no,Dewi KHX,P,2004-09-12,PC Rakitan,MJ002,11000000.0,8515886.0,2004,Gen Z,2484114.0,62102850.0,275000000.0
BON00133,PEL02000,2022-05-14,Bogor,PRD00036,20,15,1,yes,Budi DNQ,L,1981-05-22,Speaker,JBL,1200000.0,807918.0,1981,Milenial,392082.0,7841640.0,24000000.0
BON00134,PEL01262,2024-05-06,Jakarta,PRD00066,12,0,1,yes,Rudi TVH,L,2002-12-24,PC Rakitan,MJ012,17500000.0,15168212.0,2002,Gen Z,2331788.0,27981456.0,210000000.0
BON00135,PEL01625,2024-09-02,Bekasi,PRD00004,14,15,4,no,Lia YJI,P,1994-06-19,Mouse,Corsair,425000.0,267954.0,1994,Milenial,157046.0,2198644.0,5950000.0
BON00136,PEL00225,2023-10-26,Bekasi,PRD00007,18,10,5,no,Dewi NHY,P,1980-05-24,Monitor,Dell,1850000.0,1578030.0,1980,Milenial,271970.0,4895460.0,33300000.0
BON00137,PEL01264,2024-02-01,Bekasi,PRD00063,18,5,2,no,Tina WKW,P,1994-04-25,PC Rakitan,MJ009,23500000.0,18708453.0,1994,Milenial,4791547.0,86247846.0,423000000.0
BON00138,PEL00850,2023-06-28,Jakarta,PRD00049,20,0,5,no,Tina SVU,P,1977-10-19,Laptop,Dell,11750000.0,7974594.0,1977,Gen X,3775406.0,75508120.0,235000000.0
BON00139,PEL00957,2025-03-20,Bandung,PRD00065,12,15,2,no,Dedi QHC,L,1968-08-09,PC Rakitan,MJ011,8000000.0,6254385.0,1968,Gen X,1745615.0,20947380.0,96000000.0
BON00140,PEL00564,2024-06-14,Bogor,PRD00031,19,15,1,yes,Rudi CPL,L,1979-09-23,Printer,Xerox,2700000.0,1999288.0,1979,Gen X,700712.0,13313528.0,51300000.0
BON00141,PEL00857,2022-09-07,Bandung,PRD00027,21,5,4,no,Budi VJM,L,1981-07-19,Printer,Epson,1800000.0,1129863.0,1981,Milenial,670137.0,14072877.0,37800000.0
BON00143,PEL01275,2025-02-07,Bogor,PRD00031,14,10,1,yes,Rina BUV,P,1966-06-25,Printer,Xerox,2700000.0,1999288.0,1966,Gen X,700712.0,9809968.0,37800000.0
BON00144,PEL00120,2023-02-24,Depok,PRD00016,15,10,3,no,Dewi LQG,P,1982-12-08,Keyboard,Canon,1100000.0,902572.0,1982,Milenial,197428.0,2961420.0,16500000.0
BON00145,PEL00415,2023-04-04,Tangerang,PRD00035,28,15,1,yes,Dedi SNQ,L,1975-01-25,Printer,Panasonic,2000000.0,1788056.0,1975,Gen X,211944.0,5934432.0,56000000.0
BON00146,PEL01362,2023-05-03,Bekasi,PRD00023,23,15,5,no,Dewi GCE,P,1988-12-16,Keyboard,Ricoh,450000.0,375091.0,1988,Milenial,74909.0,1722907.0,10350000.0
BON00147,PEL00788,2024-06-10,Bekasi,PRD00066,21,15,3,no,Tina KPM,P,1981-01-28,PC Rakitan,MJ012,17500000.0,15168212.0,1981,Milenial,2331788.0,48967548.0,367500000.0
BON00149,PEL01859,2024-11-27,Bogor,PRD00011,10,0,2,no,Agus HET,L,1978-11-19,Monitor,Acer,1000000.0,747733.0,1978,Gen X,252267.0,2522670.0,10000000.0
BON00150,PEL00817,2024-09-06,Bekasi,PRD00033,18,5,2,no,Dewi RHI,P,1998-05-25,Printer,Ricoh,1800000.0,1412073.0,1998,Gen Z,387927.0,6982686.0,32400000.0
BON00151,PEL01660,2024-10-15,Bogor,PRD00018,12,15,1,yes,Budi FBB,L,1985-02-25,Keyboard,HP,800000.0,605976.0,1985,Milenial,194024.0,2328288.0,9600000.0
BON00152,PEL01941,2021-06-01,Bogor,PRD00044,10,5,3,no,Dedi JEA,L,2001-10-18,Speaker,Polytron,200000.0,162998.0,2001,Gen Z,37002.0,370020.0,2000000.0
BON00153,PEL01509,2024-01-14,Bekasi,PRD00060,30,5,2,no,Budi DKY,L,1977-02-07,PC Rakitan,MJ006,27500000.0,19653764.0,1977,Gen X,7846236.0,235387080.0,825000000.0
BON00154,PEL01400,2024-10-21,Bogor,PRD00060,25,0,5,no,Lia JQK,P,2002-04-02,PC Rakitan,MJ006,27500000.0,19653764.0,2002,Gen Z,7846236.0,196155900.0,687500000.0
BON00155,PEL00275,2021-11-20,Bekasi,PRD00041,25,15,1,yes,Dedi GBX,L,2001-09-03,Speaker,Advance,900000.0,624242.0,2001,Gen Z,275758.0,6893950.0,22500000.0
BON00156,PEL00794,2021-12-17,Depok,PRD00040,71,25,5,no,Budi MNA,L,1976-10-23,Speaker,Harman Kardon,500000.0,359780.0,1976,Gen X,140220.0,9955620.0,35500000.0
BON00157,PEL01784,2024-05-19,Tangerang,PRD00014,23,5,5,no,Sari SXM,P,1965-06-01,Monitor,Eizo,750000.0,557724.0,1965,Gen X,192276.0,4422348.0,17250000.0
BON00158,PEL01317,2023-12-09,Bandung,PRD00045,79,25,2,no,Rudi EZW,L,1999-12-14,Laptop,Acer,5000000.0,4016132.0,1999,Gen Z,983868.0,77725572.0,395000000.0
BON00159,PEL01962,2021-12-25,Bandung,PRD00035,71,25,4,no,Sari IIC,P,1988-02-08,Printer,Panasonic,2000000.0,1788056.0,1988,Milenial,211944.0,15048024.0,142000000.0
BON00160,PEL01311,2024-04-08,Bekasi,PRD00056,23,0,1,yes,Tina XLA,P,1968-08-26,PC Rakitan,MJ002,11000000.0,8515886.0,1968,Gen X,2484114.0,57134622.0,253000000.0
BON00161,PEL00489,2023-05-04,Bandung,PRD00028,13,15,5,no,Dedi BJE,L,1986-05-12,Printer,HP,2800000.0,1776707.0,1986,Milenial,1023293.0,13302809.0,36400000.0
BON00162,PEL00871,2021-01-27,Jakarta,PRD00015,29,5,2,no,Rudi AKP,L,1979-10-14,Monitor,ViewSonic,1950000.0,1227395.0,1979,Gen X,722605.0,20955545.0,56550000.0
BON00163,PEL01454,2023-11-26,Bogor,PRD00007,22,0,5,no,Rudi ZQX,L,1969-04-21,Monitor,Dell,1850000.0,1578030.0,1969,Gen X,271970.0,5983340.0,40700000.0
BON00164,PEL01016,2024-11-12,Bandung,PRD00028,17,0,1,yes,Joko OZM,L,1988-11-12,Printer,HP,2800000.0,1776707.0,1988,Milenial,1023293.0,17395981.0,47600000.0
