no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal
BON08662,PEL01570,1/6/2021,Bogor,PRD00022,13,15,4,no,Rina GTL,P,5/4/1999,Keyboard,Lexmark,550000.0,477099.0
BON02143,PEL01497,1/7/2021,Tangerang,PRD00030,15,10,5,no,Rina VKR,P,8/22/1972,Printer,Samsung,2700000.0,1800182.0
BON03913,PEL01930,1/7/2021,Jakarta,PRD00009,28,0,5,no,Dedi WJG,L,4/3/1966,Monitor,Samsung,1600000.0,1139107.0
BON04482,PEL00115,1/7/2021,Bekasi,PRD00028,29,0,3,no,Budi GRJ,L,4/5/1996,Printer,HP,2800000.0,1776707.0
BON09713,PEL01139,1/7/2021,Depok,PRD00005,17,10,3,no,Lia ZFW,P,2/3/1991,Mouse,Microsoft,225000.0,178221.0
BON04201,PEL00158,1/8/2021,Tangerang,PRD00023,10,0,3,no,Rudi YPR,L,7/8/1990,Keyboard,Ricoh,450000.0,375091.0
BON04616,PEL01405,1/8/2021,Bogor,PRD00019,28,5,4,no,Joko XQT,L,7/4/1974,Keyboard,Brother,1150000.0,843532.0
BON05447,PEL01073,1/8/2021,Jakarta,PRD00029,12,5,3,no,Sari RGJ,P,2/27/2002,Printer,Brother,900000.0,607976.0
BON08635,PEL00153,1/8/2021,Tangerang,PRD00014,10,0,3,no,Sari BSF,P,9/21/1974,Monitor,Eizo,750000.0,557724.0
BON09467,PEL01311,1/8/2021,Depok,PRD00019,10,0,1,yes,Tina XLA,P,8/26/1968,Keyboard,Brother,1150000.0,843532.0
BON09612,PEL00358,1/8/2021,Bekasi,PRD00013,24,0,5,no,Joko RDF,L,7/3/1982,Monitor,Gigabyte,1100000.0,754049.0
BON09771,PEL01840,1/8/2021,Tangerang,PRD00013,17,0,2,no,Rudi RUR,L,1/13/2003,Monitor,Gigabyte,1100000.0,754049.0
BON01704,PEL00650,1/9/2021,Jakarta,PRD00007,10,15,2,no,Dewi VRS,P,6/13/1984,Monitor,Dell,1850000.0,1578030.0
BON04113,PEL00828,1/9/2021,Tangerang,PRD00034,13,10,5,no,Sari EMU,P,1/4/1993,Printer,Kyocera,2200000.0,1936263.0
BON04583,PEL00538,1/9/2021,Tangerang,PRD00030,27,10,4,no,Lia TZE,P,2/11/1974,Printer,Samsung,2700000.0,1800182.0
BON06397,PEL00122,1/9/2021,Depok,PRD00044,13,15,5,no,Tina DPF,P,2/21/2002,Speaker,Polytron,200000.0,162998.0
BON07151,PEL01356,1/9/2021,Depok,PRD00041,26,15,1,yes,Budi XBU,L,4/26/1969,Speaker,Advance,900000.0,624242.0
BON08061,PEL00672,1/9/2021,Bekasi,PRD00027,20,15,5,no,Sari OHW,P,2/6/1989,Printer,Epson,1800000.0,1129863.0
BON08737,PEL00366,1/9/2021,Bekasi,PRD00007,20,15,1,yes,Dedi GZI,L,3/3/1973,Monitor,Dell,1850000.0,1578030.0
BON00321,PEL00054,1/10/2021,Jakarta,PRD00014,27,10,2,no,Dewi SUX,P,2/16/1970,Monitor,Eizo,750000.0,557724.0
BON00442,PEL00269,1/10/2021,Tangerang,PRD00038,12,10,3,no,Rudi CHB,L,7/1/1999,Speaker,Bose,1400000.0,929872.0
BON01549,PEL01265,1/10/2021,Depok,PRD00043,17,5,3,no,Tina MOJ,P,2/25/1976,Speaker,Simbadda,1000000.0,619214.0
BON01628,PEL00369,1/10/2021,Bekasi,PRD00008,16,10,5,no,Lia RLB,P,3/18/1991,Monitor,ASUS,1850000.0,1548728.0
BON03687,PEL01643,1/10/2021,Bogor,PRD00035,24,0,2,no,Lia COV,P,10/4/2005,Printer,Panasonic,2000000.0,1788056.0
BON07896,PEL01753,1/10/2021,Depok,PRD00013,11,0,2,no,Agus TCU,L,10/28/1990,Monitor,Gigabyte,1100000.0,754049.0
BON09179,PEL00122,1/10/2021,Bekasi,PRD00033,15,10,1,yes,Tina DPF,P,2/21/2002,Printer,Ricoh,1800000.0,1412073.0
BON09580,PEL01810,1/10/2021,Tangerang,PRD00037,19,0,3,no,Budi VLM,L,9/18/1985,Speaker,Sony,700000.0,589264.0
BON09919,PEL00112,1/10/2021,Tangerang,PRD00002,14,0,3,no,Sari EUO,P,2/18/1973,Mouse,Razer,125000.0,87603.0
BON00833,PEL01967,1/11/2021,Bekasi,PRD00030,29,5,1,yes,Sari OMA,P,12/14/1997,Printer,Samsung,2700000.0,1800182.0
BON03242,PEL00782,1/11/2021,Jakarta,PRD00004,15,15,1,yes,Lia GME,P,5/21/1987,Mouse,Corsair,425000.0,267954.0
BON06348,PEL01718,1/11/2021,,PRD00024,19,0,3,no,Dewi AQR,P,9/1/2004,Keyboard,Kyocera,850000.0,759960.0
BON09577,PEL01751,1/11/2021,Depok,PRD00013,24,5,1,yes,Agus AAY,L,8/5/1990,Monitor,Gigabyte,1100000.0,754049.0
BON02718,PEL01922,,Tangerang,PRD00016,15,0,4,no,Rudi XBD,L,7/14/1993,Keyboard,Canon,1100000.0,902572.0
BON04890,PEL00019,1/12/2021,Bekasi,PRD00009,22,0,3,no,Agus HWM,L,12/8/2001,Monitor,Samsung,1600000.0,1139107.0
BON05073,PEL00893,1/12/2021,Depok,PRD00008,21,5,1,yes,Dedi JME,L,7/18/1993,Monitor,ASUS,1850000.0,1548728.0
BON05697,PEL01756,1/12/2021,Jakarta,PRD00019,13,10,2,no,Lia DUB,P,12/10/2005,Keyboard,Brother,1150000.0,843532.0
BON08209,PEL00099,1/12/2021,Bogor,PRD00043,19,15,4,no,Dewi GJE,P,4/8/1979,Speaker,Simbadda,1000000.0,619214.0
BON09139,,1/12/2021,Bogor,PRD00002,30,10,3,no,,,,Mouse,Razer,125000.0,87603.0
BON09740,PEL01123,1/12/2021,Bandung,PRD00027,26,10,2,no,Rudi CNG,L,1/1/2005,Printer,Epson,1800000.0,1129863.0
BON02121,PEL01214,1/13/2021,Bekasi,PRD00018,21,10,4,no,Joko BLL,L,9/23/1967,Keyboard,HP,800000.0,605976.0
BON02231,PEL01665,1/13/2021,Bandung,PRD00029,11,10,2,no,Budi JUT,L,6/24/1976,Printer,Brother,900000.0,607976.0
BON02890,PEL00260,1/13/2021,Depok,PRD00028,18,10,3,no,Tina XME,P,6/15/1998,Printer,HP,2800000.0,1776707.0
BON07376,PEL00243,1/13/2021,,PRD00030,20,5,2,no,Sari FUI,P,5/8/1988,Printer,Samsung,2700000.0,1800182.0
BON08319,PEL01969,1/13/2021,Tangerang,PRD00018,13,15,4,no,Dewi VCM,P,5/7/1999,Keyboard,HP,800000.0,605976.0
BON09637,PEL00707,1/13/2021,Bogor,PRD00022,12,10,3,no,Lia JSC,P,1/5/1969,Keyboard,Lexmark,550000.0,477099.0
BON01822,,1/14/2021,Bekasi,PRD00040,29,15,2,no,,,,Speaker,Harman Kardon,500000.0,359780.0
BON05932,PEL00075,1/14/2021,Bekasi,PRD00001,15,5,1,yes,Rina FIM,P,2/13/1969,Mouse,Logitech,125000.0,107423.0
BON08377,PEL01844,1/14/2021,Jakarta,PRD00040,15,10,5,no,Agus KYU,L,11/9/1985,Speaker,Harman Kardon,500000.0,359780.0
BON09188,PEL00629,1/14/2021,Tangerang,PRD00002,27,0,2,no,Lia NFP,P,7/9/1979,Mouse,Razer,125000.0,87603.0
BON02783,PEL01343,1/15/2021,Bandung,PRD00022,16,15,1,yes,Rina VFN,P,8/13/1986,Keyboard,Lexmark,550000.0,477099.0
BON06833,PEL01144,1/15/2021,Depok,PRD00012,24,5,1,yes,Budi UPM,L,8/21/1999,Monitor,MSI,1800000.0,1596299.0
BON07575,PEL00026,1/15/2021,Tangerang,PRD00042,25,10,1,yes,Agus YJY,L,1/13/1968,Speaker,Robot,1500000.0,1241712.0
BON09906,PEL00093,1/15/2021,Bogor,PRD00036,18,0,2,no,Tina FKU,P,2/28/1984,Speaker,JBL,1200000.0,807918.0
BON00606,PEL00537,1/16/2021,Depok,PRD00014,26,5,3,no,Dedi TBF,L,4/5/1975,Monitor,Eizo,750000.0,557724.0
BON01408,PEL00259,1/16/2021,Bandung,PRD00024,17,15,5,no,Agus CIA,L,3/15/1984,Keyboard,Kyocera,850000.0,759960.0
BON02464,PEL00406,1/16/2021,Bandung,PRD00015,21,10,2,no,Agus OHS,L,1/20/2002,Monitor,ViewSonic,1950000.0,1227395.0
BON02801,PEL01840,1/16/2021,Bandung,PRD00018,15,0,2,no,Rudi RUR,L,1/13/2003,Keyboard,HP,800000.0,605976.0
BON03550,PEL00830,1/16/2021,Jakarta,PRD00038,11,15,5,no,Lia VUK,P,3/17/1990,Speaker,Bose,1400000.0,929872.0
BON04204,PEL01233,1/16/2021,Jakarta,PRD00007,24,10,3,no,Sari HLY,P,10/26/1971,Monitor,Dell,1850000.0,1578030.0
BON04972,PEL00686,1/16/2021,Bandung,PRD00043,29,10,2,no,Dedi DZU,L,7/16/2001,Speaker,Simbadda,1000000.0,619214.0
BON05377,PEL01397,1/16/2021,Bekasi,PRD00041,14,5,5,no,Agus FCU,L,1/17/1973,Speaker,Advance,900000.0,624242.0
BON06310,PEL00202,1/16/2021,Bogor,PRD00037,29,0,2,no,Tina BUG,P,12/17/2004,Speaker,Sony,700000.0,589264.0
BON06337,PEL00596,1/16/2021,Tangerang,PRD00033,21,5,1,yes,Joko FRM,L,7/1/2005,Printer,Ricoh,1800000.0,1412073.0
BON08544,PEL00733,1/16/2021,Bandung,PRD00007,24,5,5,no,Dewi MQN,P,5/28/1965,Monitor,Dell,1850000.0,1578030.0
BON08894,PEL00644,1/16/2021,Tangerang,PRD00037,14,15,3,no,Sari AMT,P,7/16/2000,Speaker,Sony,700000.0,589264.0
BON09480,PEL01703,1/16/2021,Jakarta,PRD00004,21,10,1,yes,Rudi VXH,L,8/20/1975,Mouse,Corsair,425000.0,267954.0
BON02229,PEL00658,1/17/2021,Tangerang,PRD00005,21,10,5,no,Tina FBI,P,2/3/2003,Mouse,Microsoft,225000.0,178221.0
BON04350,PEL01632,1/17/2021,Tangerang,PRD00033,20,15,5,no,Dedi KHB,L,12/9/1966,Printer,Ricoh,1800000.0,1412073.0
BON05361,PEL01873,1/17/2021,Tangerang,PRD00024,12,10,3,no,Budi AMX,L,4/8/1993,Keyboard,Kyocera,850000.0,759960.0
BON05834,PEL01236,1/17/2021,Bogor,PRD00044,15,0,5,no,Tina NLL,P,3/9/1966,Speaker,Polytron,200000.0,162998.0
BON06080,PEL00586,1/17/2021,Bogor,PRD00023,12,15,1,yes,Rudi VQC,L,1/26/1990,Keyboard,Ricoh,450000.0,375091.0
BON07031,PEL01959,1/17/2021,Depok,PRD00008,25,0,2,no,Agus SRP,L,9/26/1996,Monitor,ASUS,1850000.0,1548728.0
BON07302,PEL01197,1/17/2021,Jakarta,PRD00018,15,15,5,no,Rudi SKE,L,12/27/1979,Keyboard,HP,800000.0,605976.0
BON01312,PEL00725,1/18/2021,Jakarta,PRD00003,25,5,3,no,Joko OOW,L,9/10/1996,Mouse,SteelSeries,450000.0,358724.0
BON02702,PEL01868,1/18/2021,Tangerang,PRD00044,19,15,2,no,Dedi PIE,L,9/2/1988,Speaker,Polytron,200000.0,162998.0
BON02942,PEL00700,1/18/2021,Tangerang,PRD00001,30,5,1,yes,Lia TCM,P,7/25/1970,Mouse,Logitech,125000.0,107423.0
BON08547,PEL01765,1/18/2021,Bogor,PRD00041,19,0,1,yes,Agus YNM,L,3/11/1969,Speaker,Advance,900000.0,624242.0
BON01854,PEL01191,1/19/2021,Tangerang,PRD00040,11,10,2,no,Rudi DWY,L,9/10/2005,Speaker,Harman Kardon,500000.0,359780.0
BON03424,PEL01028,1/19/2021,Jakarta,PRD00006,20,15,1,yes,Agus IJE,L,1/7/1992,Monitor,LG,1900000.0,1147364.0
BON05093,PEL01487,1/19/2021,Bekasi,PRD00034,21,15,1,yes,Budi OXV,L,8/26/1972,Printer,Kyocera,2200000.0,1936263.0
BON06091,PEL01195,1/19/2021,Bekasi,PRD00035,13,0,3,no,Sari THM,P,8/16/1987,Printer,Panasonic,2000000.0,1788056.0
BON08588,PEL01885,1/19/2021,Depok,PRD00002,14,10,5,no,Joko IES,L,2/10/1982,Mouse,Razer,125000.0,87603.0
BON00205,PEL00473,1/20/2021,Bandung,PRD00035,29,15,4,no,Agus SNP,L,1/18/1970,Printer,Panasonic,2000000.0,1788056.0
BON00563,PEL00547,1/20/2021,Tangerang,,12,0,4,no,Dedi PRQ,L,10/13/1991,,,,
BON00668,PEL00833,1/20/2021,Bandung,PRD00018,10,5,1,yes,Rina VIH,P,11/4/1995,Keyboard,HP,800000.0,605976.0
BON01579,PEL00995,1/20/2021,Bekasi,PRD00007,14,5,3,no,Agus YRP,L,8/19/1975,Monitor,Dell,1850000.0,1578030.0
BON03063,PEL01348,1/20/2021,Bekasi,PRD00015,30,15,1,yes,Tina PFK,P,3/7/1992,Monitor,ViewSonic,1950000.0,1227395.0
BON03637,PEL00487,1/20/2021,Bandung,PRD00032,10,0,1,yes,Joko PGN,L,4/9/2001,Printer,Lexmark,2500000.0,1828761.0
BON04443,PEL01218,1/20/2021,Jakarta,PRD00001,22,10,3,no,Budi LRB,L,2/9/1994,Mouse,Logitech,125000.0,107423.0
BON02618,PEL00492,1/21/2021,Bandung,PRD00030,15,0,5,no,Rina QHR,P,10/17/2004,Printer,Samsung,2700000.0,1800182.0
BON07562,PEL00392,1/21/2021,Bekasi,PRD00043,18,10,1,yes,Budi XJL,L,9/8/1979,Speaker,Simbadda,1000000.0,619214.0
BON08270,PEL02000,1/21/2021,Jakarta,PRD00003,15,15,4,no,Budi DNQ,L,5/22/1981,Mouse,SteelSeries,450000.0,358724.0
BON01779,PEL00607,1/22/2021,Bekasi,PRD00029,15,0,4,no,Rina XIY,P,3/18/1975,Printer,Brother,900000.0,607976.0
BON01915,PEL00978,1/22/2021,Bekasi,PRD00008,18,10,3,no,Dewi XDO,P,10/28/1991,Monitor,ASUS,1850000.0,1548728.0
BON03043,PEL00387,1/22/2021,Jakarta,PRD00012,13,0,1,yes,Tina QHP,P,7/12/1998,Monitor,MSI,1800000.0,1596299.0
BON04722,PEL01284,1/22/2021,Bogor,PRD00034,30,5,5,no,Tina JFN,P,2/23/1990,Printer,Kyocera,2200000.0,1936263.0
BON08024,PEL01017,1/22/2021,Bekasi,PRD00011,29,0,4,no,Lia UJR,P,4/16/1971,Monitor,Acer,1000000.0,747733.0
BON08733,PEL00265,1/22/2021,Depok,PRD00024,21,0,4,no,Joko BNA,L,2/24/1995,Keyboard,Kyocera,850000.0,759960.0
BON00468,PEL01482,1/23/2021,Bandung,PRD00034,10,15,3,no,Budi QXL,L,5/23/2000,Printer,Kyocera,2200000.0,1936263.0
BON01089,PEL01332,1/23/2021,Bandung,PRD00007,14,5,4,no,Sari RVK,P,7/27/1998,Monitor,Dell,1850000.0,1578030.0
BON03142,PEL01976,1/23/2021,Depok,PRD00028,22,0,4,no,Dewi CUM,P,4/14/1974,Printer,HP,2800000.0,1776707.0
BON05524,PEL01366,1/23/2021,Depok,PRD00001,12,0,3,no,Tina OAA,P,11/26/1965,Mouse,Logitech,125000.0,107423.0
BON08802,PEL00677,1/23/2021,Tangerang,PRD00003,29,15,3,no,Dedi GXO,L,6/24/1980,Mouse,SteelSeries,450000.0,358724.0
BON09516,PEL01606,1/23/2021,Jakarta,PRD00034,13,0,4,no,Dedi EYJ,L,11/1/1983,Printer,Kyocera,2200000.0,1936263.0
BON00981,PEL00295,1/24/2021,Depok,PRD00017,10,10,3,no,Dedi RGX,L,9/20/1980,Keyboard,Epson,1250000.0,983813.0
,PEL00035,1/24/2021,Depok,PRD00004,26,0,5,no,Budi SGN,L,8/25/2005,Mouse,Corsair,425000.0,267954.0
BON03828,PEL00462,1/24/2021,Tangerang,PRD00007,19,5,5,no,Rudi KOG,L,4/8/1992,Monitor,Dell,1850000.0,1578030.0
BON06411,,1/24/2021,Bandung,PRD00026,25,5,5,no,,,,Printer,Canon,1800000.0,1375032.0
BON08130,PEL01260,1/24/2021,Depok,PRD00031,19,15,5,no,Joko RRN,L,2/4/1966,Printer,Xerox,2700000.0,1999288.0
BON00860,,1/25/2021,Tangerang,PRD00014,14,0,2,no,,,,Monitor,Eizo,750000.0,557724.0
BON07016,PEL01033,1/25/2021,Bandung,PRD00015,14,5,3,no,Lia YPT,P,5/24/1981,Monitor,ViewSonic,1950000.0,1227395.0
BON09223,PEL01388,1/25/2021,Tangerang,PRD00027,19,10,2,no,Sari YCM,P,12/25/1977,Printer,Epson,1800000.0,1129863.0
BON01701,PEL01108,1/26/2021,Tangerang,PRD00041,25,15,2,no,Tina TKW,P,11/21/1976,Speaker,Advance,900000.0,624242.0
BON02122,PEL01148,1/26/2021,Jakarta,PRD00026,29,5,1,yes,Rina LAM,P,2/10/1973,Printer,Canon,1800000.0,1375032.0
BON03512,PEL00723,1/26/2021,Depok,PRD00039,29,0,4,no,Dewi FUE,P,6/24/1968,Speaker,Logitech,900000.0,573618.0
BON03525,PEL01044,1/26/2021,Depok,PRD00020,29,0,3,no,Sari GXY,P,2/28/1985,Keyboard,Samsung,600000.0,501505.0
BON04929,PEL01095,1/26/2021,Bogor,PRD00013,21,0,2,no,Budi UUU,L,7/2/1971,Monitor,Gigabyte,1100000.0,754049.0
BON05005,PEL01148,1/26/2021,Depok,PRD00020,19,0,1,yes,Rina LAM,P,2/10/1973,Keyboard,Samsung,600000.0,501505.0
BON05582,PEL01966,1/26/2021,Bekasi,PRD00029,15,10,2,no,Rudi ZDL,L,6/19/1993,Printer,Brother,900000.0,607976.0
BON06537,PEL00818,1/26/2021,,PRD00037,12,15,1,yes,Budi ENS,L,12/1/1986,Speaker,Sony,700000.0,589264.0
BON08204,,1/26/2021,Tangerang,PRD00032,29,15,4,no,,,,Printer,Lexmark,2500000.0,1828761.0
BON00162,PEL00871,1/27/2021,Jakarta,PRD00015,29,5,2,no,Rudi AKP,L,10/14/1979,Monitor,ViewSonic,1950000.0,1227395.0
BON02156,PEL00806,1/27/2021,Depok,PRD00029,12,15,3,no,Rudi AAG,L,1/25/1990,Printer,Brother,900000.0,607976.0
BON03124,PEL01103,1/27/2021,Bandung,PRD00042,15,10,5,no,Tina ZOE,P,5/3/1985,Speaker,Robot,1500000.0,1241712.0
BON04378,PEL01782,1/27/2021,Tangerang,PRD00029,23,0,2,no,Rudi TKI,L,2/13/1982,Printer,Brother,900000.0,607976.0
BON04561,PEL00548,1/27/2021,Jakarta,PRD00039,15,15,2,no,Joko OZY,L,6/13/1970,Speaker,Logitech,900000.0,573618.0
BON07824,PEL00715,1/27/2021,Jakarta,PRD00015,17,5,5,no,Sari VCS,P,8/15/1986,Monitor,ViewSonic,1950000.0,1227395.0
BON07974,PEL00151,1/27/2021,Tangerang,PRD00022,23,15,4,no,Joko NSK,L,5/7/1974,Keyboard,Lexmark,550000.0,477099.0
BON08874,PEL01408,1/27/2021,Bandung,PRD00006,13,0,3,no,Joko LJU,L,10/24/2005,Monitor,LG,1900000.0,1147364.0
BON00029,PEL01213,1/28/2021,Bekasi,PRD00025,26,15,3,no,Dedi PQB,L,8/6/1999,Keyboard,Panasonic,400000.0,287728.0
,PEL00899,1/28/2021,Jakarta,PRD00027,22,0,5,no,Lia DUJ,P,12/9/1997,Printer,Epson,1800000.0,1129863.0
BON03889,PEL00268,1/28/2021,Bogor,PRD00013,18,0,1,yes,Dewi LNR,P,1/21/1987,Monitor,Gigabyte,1100000.0,754049.0
BON04731,PEL00679,1/28/2021,Bogor,PRD00001,19,5,4,no,Tina AMR,P,5/7/1967,Mouse,Logitech,125000.0,107423.0
BON05206,PEL00380,1/28/2021,Depok,PRD00028,10,5,1,yes,Dewi BZC,P,5/8/1971,Printer,HP,2800000.0,1776707.0
BON05415,PEL00791,1/28/2021,Bogor,PRD00021,11,15,3,no,Dewi CGU,P,9/13/1967,Keyboard,Xerox,750000.0,514953.0
BON05593,PEL01351,1/28/2021,Depok,PRD00030,24,10,4,no,Dedi BKE,L,6/4/1968,Printer,Samsung,2700000.0,1800182.0
BON01131,PEL01414,2/1/2021,Jakarta,PRD00043,23,5,3,no,Sari ZVY,P,2/20/1984,Speaker,Simbadda,1000000.0,619214.0
BON04668,PEL00304,2/1/2021,Tangerang,PRD00012,20,10,1,yes,Dewi MQW,P,2/5/1997,Monitor,MSI,1800000.0,1596299.0
BON06829,PEL01196,2/1/2021,Depok,PRD00025,11,15,5,no,Joko AVM,L,1/8/1993,Keyboard,Panasonic,400000.0,287728.0
BON06866,PEL00072,2/1/2021,Bandung,PRD00043,11,5,3,no,Joko LZD,L,8/14/2000,Speaker,Simbadda,1000000.0,619214.0
BON03159,PEL01862,2/2/2021,Jakarta,PRD00019,29,5,1,yes,Rudi XVW,L,12/21/1984,Keyboard,Brother,1150000.0,843532.0
BON04134,PEL01020,2/2/2021,Bogor,PRD00006,15,15,1,yes,Sari MXX,P,8/28/1987,Monitor,LG,1900000.0,1147364.0
BON05405,PEL00149,2/2/2021,Bekasi,PRD00023,30,10,2,no,Rina LMQ,P,8/4/2002,Keyboard,Ricoh,450000.0,375091.0
BON07728,PEL00995,2/2/2021,Bogor,PRD00038,20,10,2,no,Agus YRP,L,8/19/1975,Speaker,Bose,1400000.0,929872.0
BON09278,PEL01953,2/2/2021,Jakarta,PRD00007,28,15,2,no,Dewi ZYJ,P,6/25/1980,Monitor,Dell,1850000.0,1578030.0
BON04345,PEL01558,2/3/2021,Depok,PRD00018,28,0,1,yes,Sari SAW,P,9/20/1995,Keyboard,HP,800000.0,605976.0
BON06203,,2/3/2021,Depok,PRD00021,29,0,2,no,,,,Keyboard,Xerox,750000.0,514953.0
BON08431,PEL01673,2/3/2021,Tangerang,PRD00004,24,0,3,no,Rudi BEB,L,4/15/1986,Mouse,Corsair,425000.0,267954.0
BON08671,PEL00010,2/3/2021,Tangerang,PRD00034,29,10,5,no,Budi FHR,L,4/14/1990,Printer,Kyocera,2200000.0,1936263.0
,PEL01347,2/3/2021,Depok,PRD00020,19,0,2,no,Rudi BYP,L,3/6/1990,Keyboard,Samsung,600000.0,501505.0
BON09540,PEL01259,2/3/2021,Bogor,PRD00005,28,15,5,no,Dewi CNO,P,10/10/2005,Mouse,Microsoft,225000.0,178221.0
BON00067,PEL01211,2/4/2021,Depok,PRD00028,12,5,3,no,Agus ZMS,L,6/8/2002,Printer,HP,2800000.0,1776707.0
BON00675,PEL01321,2/4/2021,Tangerang,PRD00036,14,15,3,no,Lia NRC,P,3/26/1977,Speaker,JBL,1200000.0,807918.0
BON03057,PEL00358,2/5/2021,Bekasi,PRD00032,13,15,5,no,Joko RDF,L,7/3/1982,Printer,Lexmark,2500000.0,1828761.0
